Date/Time,ESTE:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),ESTE:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),NORTE:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),NORTE:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),OESTE:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),OESTE:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),SUR:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),SUR:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),PISO:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),PISO:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),TECHO:Surface Inside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep),TECHO:Surface Outside Face Conduction Heat Transfer Rate per Area [W/m2](TimeStep) 
 01/01  00:10:00,-4.401995411718644,50.184595000616358,-5.835355703420873,48.397764899268398,0.9737409199074136,57.52096847831035,2.8187890168530886,60.05640890966765,13.296049950161433,0.0,-8.186215908727036,65.30676789766744 
 01/01  00:20:00,-4.344692109012158,54.6920424518903,-5.719653507660951,52.96354774063661,0.8323970592214209,61.96819096030549,2.580896878641852,64.42761149261833,13.666066703552588,0.0,-8.332413837494187,70.1122402409303 
 01/01  00:30:00,-4.2963738696182649,59.04633730867363,-5.615558620796037,57.37573019878437,0.7209416460518696,66.2740469039793,2.349501885723157,68.65763880149211,14.035193051924125,0.0,-8.481769695362573,74.76103249906737 
 01/01  00:40:00,-4.261982316605327,63.27938625884258,-5.527946224534162,61.665820231687579,0.5347794242709369,70.47233096352557,2.1192036377233309,72.78106300348736,14.413560889671317,0.0,-8.642568136162027,79.28962803951868 
 01/01  00:50:00,-4.239540081049427,67.41035843306077,-5.454551745654271,65.85275363483106,0.36359158849381859,74.58307878423284,1.89082816919381,76.81833664345618,14.815492539054958,0.0,-8.814240119521856,83.71952718447665 
 01/01  01:00:00,-4.228383529354005,71.45169462291733,-5.394506806379468,69.94882612423817,0.18801832760914295,78.6191558849805,1.6647176208762176,80.78245115197774,15.24947699097902,0.0,-8.997126430385152,88.0643696067873 
 01/01  01:10:00,-4.228199247607336,69.63858209168939,-5.347370925093628,68.2062700206161,0.00623897422610753,76.30629870764688,1.4423134537059923,78.36628817652286,15.719632728709712,0.0,-9.191696191215897,85.84963470938942 
 01/01  01:20:00,-4.236857296603375,68.08197704465124,-5.310886443168556,66.71552561163458,-0.18033388748131075,74.30019885439538,1.2299981414805644,76.26424157575662,16.222249627858674,0.0,-9.395073989674302,83.96730049080134 
 01/01  01:30:00,-4.249304318454051,66.67489505119375,-5.279869213691427,65.37069170158111,-0.3663123177277612,72.47925877924445,1.0647957638047956,74.35279822551115,16.74503870661647,0.0,-9.599572769787756,82.28252815089422 
 01/01  01:40:00,-4.265014483256664,65.37366738123888,-5.253769560903038,64.12849361364306,-0.5500166722979429,70.79329267251137,0.7964748897704794,72.58088978269575,17.269728724643984,0.0,-9.802625737491099,80.74065754363619 
